""	"x.MAT"	"x.MAP"	"x.pH"	"x.TC"	"x.CN"	"x.tree"	"x.soil"	"x.dist"	"y.MAT"	"y.MAP"	"y.pH"	"y.TC"	"y.CN"	"y.tree"	"y.soil"	"y.dist"
"28"	0.135678391959799	0.135678391959799	0.135678391959799	0.135678391959799	0.135678391959799	0.135678391959799	0.135678391959799	0.135678391959799	0.138733043867981	0.00327804930409983	0.303425479218265	0	0.0827918536089818	0.331762876601299	0.00402785282911561	0.706492083929071
"29"	0.14070351758794	0.14070351758794	0.14070351758794	0.14070351758794	0.14070351758794	0.14070351758794	0.14070351758794	0.14070351758794	0.143332681232181	0.00352536440934741	0.313354728147424	0	0.0857420246325634	0.331843952482997	0.00402785282911561	0.707923945817147
"30"	0.14572864321608	0.14572864321608	0.14572864321608	0.14572864321608	0.14572864321608	0.14572864321608	0.14572864321608	0.14572864321608	0.147893845487825	0.00378167279114946	0.323190496234966	0	0.0886838960900808	0.331927976578575	0.00402785282911561	0.709347507056596
"31"	0.150753768844221	0.150753768844221	0.150753768844221	0.150753768844221	0.150753768844221	0.150753768844221	0.150753768844221	0.150753768844221	0.152416536634912	0.00404697444950596	0.332932783480893	0	0.0916174679815339	0.332014948888033	0.00402785282911561	0.710762767647418
"32"	0.155778894472362	0.155778894472362	0.155778894472362	0.155778894472362	0.155778894472362	0.155778894472362	0.155778894472362	0.155778894472362	0.156900754673442	0.00432126938441692	0.342581589885202	0	0.0945427403069228	0.332104869411371	0.00402785282911561	0.712169727589614
"33"	0.160804020100503	0.160804020100503	0.160804020100503	0.160804020100503	0.160804020100503	0.160804020100503	0.160804020100503	0.160804020100503	0.161346499603414	0.00460455759588234	0.352136915447896	0	0.0974597130662474	0.332197738148589	0.00402785282911561	0.713568386883184
"34"	0.165829145728643	0.165829145728643	0.165829145728643	0.165829145728643	0.165829145728643	0.165829145728643	0.165829145728643	0.165829145728643	0.16575377142483	0.00489683908390221	0.361598760168973	0	0.100368386259508	0.332293555099687	0.00402785282911561	0.714958745528127
"35"	0.170854271356784	0.170854271356784	0.170854271356784	0.170854271356784	0.170854271356784	0.170854271356784	0.170854271356784	0.170854271356784	0.170122570137688	0.00519811384847655	0.370967124048433	0	0.103268759886704	0.332392320264665	0.00402785282911561	0.716340803524443
"36"	0.175879396984925	0.175879396984925	0.175879396984925	0.175879396984925	0.175879396984925	0.175879396984925	0.175879396984925	0.175879396984925	0.17445289574199	0.00550838188960534	0.380242007086278	0	0.106160833947836	0.332494033643523	0.00402785282911561	0.717714560872133
"37"	0.180904522613065	0.180904522613065	0.180904522613065	0.180904522613065	0.180904522613065	0.180904522613065	0.180904522613065	0.180904522613065	0.178744748237735	0.00582764320728859	0.389423409282506	0	0.109044608442904	0.332598695236261	0.00402785282911561	0.719080017571196
"38"	0.185929648241206	0.185929648241206	0.185929648241206	0.185929648241206	0.185929648241206	0.185929648241206	0.185929648241206	0.185929648241206	0.182998127624922	0.00615589780152629	0.398511330637117	0	0.111920083371907	0.332706305042879	0.00402785282911561	0.720437173621633
"39"	0.190954773869347	0.190954773869347	0.190954773869347	0.190954773869347	0.190954773869347	0.190954773869347	0.190954773869347	0.190954773869347	0.187213033903552	0.00649314567231846	0.407505771150113	0	0.114787258734846	0.332816863063376	0.00402785282911561	0.721786029023443
"40"	0.195979899497487	0.195979899497487	0.195979899497487	0.195979899497487	0.195979899497487	0.195979899497487	0.195979899497487	0.195979899497487	0.191389467073626	0.00683938681966508	0.416406730821492	0	0.117646134531721	0.332930369297754	0.00402785282911561	0.723126583776627
"41"	0.201005025125628	0.201005025125628	0.201005025125628	0.201005025125628	0.201005025125628	0.201005025125628	0.201005025125628	0.201005025125628	0.195527427135142	0.00719462124356616	0.425214209651254	0	0.120496710762532	0.333046823746012	0.00402785282911561	0.724458837881185
"42"	0.206030150753769	0.206030150753769	0.206030150753769	0.206030150753769	0.206030150753769	0.206030150753769	0.206030150753769	0.206030150753769	0.199626914088101	0.00755884894402169	0.433928207639401	0	0.123338987427279	0.333166226408149	0.00402785282911561	0.725782791337115
"43"	0.21105527638191	0.21105527638191	0.21105527638191	0.21105527638191	0.21105527638191	0.21105527638191	0.21105527638191	0.21105527638191	0.203687927932504	0.00793206992103169	0.442548724785931	0	0.126172964525961	0.333288577284166	0.00402785282911561	0.72709844414442
"44"	0.21608040201005	0.21608040201005	0.21608040201005	0.21608040201005	0.21608040201005	0.21608040201005	0.21608040201005	0.21608040201005	0.207710468668349	0.00831428417459614	0.451075761090844	0	0.128998642058579	0.333413876374064	0.00402785282911561	0.728405796303097
"45"	0.221105527638191	0.221105527638191	0.221105527638191	0.221105527638191	0.221105527638191	0.221105527638191	0.221105527638191	0.221105527638191	0.211694536295637	0.00870549170471505	0.459509316554142	0	0.131816020025133	0.333542123677841	0.00402785282911561	0.729704847813148
"46"	0.226130653266332	0.226130653266332	0.226130653266332	0.226130653266332	0.226130653266332	0.226130653266332	0.226130653266332	0.226130653266332	0.215640130814368	0.00910569251138842	0.467849391175822	0	0.134625098425623	0.333673319195498	0.00402785282911561	0.730995598674573
"47"	0.231155778894472	0.231155778894472	0.231155778894472	0.231155778894472	0.231155778894472	0.231155778894472	0.231155778894472	0.231155778894472	0.219547252224542	0.00951488659461624	0.476095984955887	0	0.137425877260048	0.333807462927035	0.00402785282911561	0.732278048887371
"48"	0.236180904522613	0.236180904522613	0.236180904522613	0.236180904522613	0.236180904522613	0.236180904522613	0.236180904522613	0.236180904522613	0.22341590052616	0.00993307395439852	0.484249097894335	0	0.140216466328836	0.333944554872453	0.00402785282911561	0.733552198451543
"49"	0.241206030150754	0.241206030150754	0.241206030150754	0.241206030150754	0.241206030150754	0.241206030150754	0.241206030150754	0.241206030150754	0.22724607571922	0.0103602545907353	0.492308729991167	0	0.142989590609128	0.33408459503175	0.00402785282911561	0.734818047367088
"50"	0.246231155778894	0.246231155778894	0.246231155778894	0.246231155778894	0.246231155778894	0.246231155778894	0.246231155778894	0.246231155778894	0.231037777803723	0.0107964285036265	0.500274881246383	0	0.14574453046791	0.334227583404927	0.00402785282911561	0.736075595634006
"51"	0.251256281407035	0.251256281407035	0.251256281407035	0.251256281407035	0.251256281407035	0.251256281407035	0.251256281407035	0.251256281407035	0.234791006779669	0.0112415956930721	0.508147551659982	0	0.148481285905182	0.334373519991983	0.00402785282911561	0.737324843252299
