""	"x.MAT"	"x.MAP"	"x.pH"	"x.TC"	"x.CN"	"x.tree"	"x.soil"	"x.dist"	"y.MAT"	"y.MAP"	"y.pH"	"y.TC"	"y.CN"	"y.tree"	"y.soil"	"y.dist"
"1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	0.0050251256281407	0.0050251256281407	0.0050251256281407	0.0050251256281407	0.0050251256281407	0.0050251256281407	0.0050251256281407	0.0050251256281407	0.00340533532466535	0	0.00733819514423725	0.00633160808915265	0.00392244827632882	0.122002737520263	0.053029721431311	0.0998159563425083
"3"	0.0100502512562814	0.0100502512562814	0.0100502512562814	0.0100502512562814	0.0100502512562814	0.0100502512562814	0.0100502512562814	0.0100502512562814	0.00678580832089128	0	0.0147064038691478	0.0125527245569881	0.00784085979182874	0.122003079963456	0.053029721431311	0.100561959759483
"4"	0.0150753768844221	0.0150753768844221	0.0150753768844221	0.0150753768844221	0.0150753768844221	0.0150753768844221	0.0150753768844221	0.0150753768844221	0.0101414189886778	0	0.0221046261747318	0.0186633494035061	0.0117552345464997	0.122003650702112	0.053029721431311	0.101304204972845
"5"	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0134721673280248	0	0.0295328620609892	0.0246634826287069	0.0156655725403419	0.122004449736231	0.053029721431311	0.102042691982595
"6"	0.0251256281407035	0.0251256281407035	0.0251256281407035	0.0251256281407035	0.0251256281407035	0.0251256281407035	0.0251256281407035	0.0251256281407035	0.0167780533389324	0	0.0369911115279199	0.0305531242325904	0.0195718737733551	0.122005477065812	0.053029721431311	0.102777420788733
"7"	0.0301507537688442	0.0301507537688442	0.0301507537688442	0.0301507537688442	0.0301507537688442	0.0301507537688442	0.0301507537688442	0.0301507537688442	0.0200590770214005	0	0.044479374575524	0.0363322742151566	0.0234741382455394	0.122006732690855	0.053029721431311	0.10350839139126
"8"	0.0351758793969849	0.0351758793969849	0.0351758793969849	0.0351758793969849	0.0351758793969849	0.0351758793969849	0.0351758793969849	0.0351758793969849	0.0233152383754292	0	0.0519976512038016	0.0420009325764055	0.0273723659568948	0.122008216611361	0.053029721431311	0.104235603790174
"9"	0.0402010050251256	0.0402010050251256	0.0402010050251256	0.0402010050251256	0.0402010050251256	0.0402010050251256	0.0402010050251256	0.0402010050251256	0.0265465374010184	0	0.0595459414127524	0.0475590993163371	0.0312665569074213	0.12200992882733	0.053029721431311	0.104959057985476
"10"	0.0452261306532663	0.0452261306532663	0.0452261306532663	0.0452261306532663	0.0452261306532663	0.0452261306532663	0.0452261306532663	0.0452261306532663	0.0297529740981682	0	0.0671242452023766	0.0530067744349514	0.0351567110971189	0.12201186933876	0.053029721431311	0.105678753977167
"11"	0.050251256281407	0.050251256281407	0.050251256281407	0.050251256281407	0.050251256281407	0.050251256281407	0.050251256281407	0.050251256281407	0.0329345484668786	0	0.0747325625726742	0.0583439579322485	0.0390428285259876	0.122014038145654	0.053029721431311	0.106394691765245
"12"	0.0552763819095477	0.0552763819095477	0.0552763819095477	0.0552763819095477	0.0552763819095477	0.0552763819095477	0.0552763819095477	0.0552763819095477	0.0360912605071495	0	0.0823708935236453	0.0635706498082282	0.0429249091940275	0.122016435248009	0.053029721431311	0.107106871349712
"13"	0.0603015075376884	0.0603015075376884	0.0603015075376884	0.0603015075376884	0.0603015075376884	0.0603015075376884	0.0603015075376884	0.0603015075376884	0.039223110218981	0	0.0900392380552896	0.0686868500628906	0.0468029531012384	0.122019060645828	0.053029721431311	0.107815292730566
"14"	0.0653266331658292	0.0653266331658292	0.0653266331658292	0.0653266331658292	0.0653266331658292	0.0653266331658292	0.0653266331658292	0.0653266331658292	0.0423300976023731	0	0.0977375961676074	0.0736925586962358	0.0506769602476204	0.122021914339108	0.053029721431311	0.108519955907809
"15"	0.0703517587939698	0.0703517587939698	0.0703517587939698	0.0703517587939698	0.0703517587939698	0.0703517587939698	0.0703517587939698	0.0703517587939698	0.0454122226573257	0	0.105465967860599	0.0785877757082637	0.0545469306331735	0.122024996327851	0.053029721431311	0.10922086088144
"16"	0.0753768844221106	0.0753768844221106	0.0753768844221106	0.0753768844221106	0.0753768844221106	0.0753768844221106	0.0753768844221106	0.0753768844221106	0.0484694853838388	0	0.113224353134263	0.0833725010989742	0.0584128642578977	0.122028306612057	0.053029721431311	0.109918007651458
"17"	0.0804020100502513	0.0804020100502513	0.0804020100502513	0.0804020100502513	0.0804020100502513	0.0804020100502513	0.0804020100502513	0.0804020100502513	0.0515018857819126	0	0.121012751988601	0.0880467348683675	0.062274761121793	0.122031845191725	0.053029721431311	0.110611396217865
"18"	0.085427135678392	0.085427135678392	0.085427135678392	0.085427135678392	0.085427135678392	0.085427135678392	0.085427135678392	0.085427135678392	0.0545094238515468	0	0.128831164423612	0.0926104770164435	0.0661326212248594	0.122035612066855	0.053029721431311	0.11130102658066
"19"	0.0904522613065327	0.0904522613065327	0.0904522613065327	0.0904522613065327	0.0904522613065327	0.0904522613065327	0.0904522613065327	0.0904522613065327	0.0574920995927417	0	0.136679590439297	0.0970637275432022	0.0699864445670969	0.122039607237448	0.053029721431311	0.111986898739843
"20"	0.0954773869346734	0.0954773869346734	0.0954773869346734	0.0954773869346734	0.0954773869346734	0.0954773869346734	0.0954773869346734	0.0954773869346734	0.0604499130054971	0	0.144558030035655	0.101406486448644	0.0738362311485055	0.122043830703503	0.053029721431311	0.112669012695413
