sample	Site	median	mean	siltandclay	Branch_stock	Branch_CN	Leaf_stock	Leaf_CN	FH_stock	FH_CN	Latitude	Longitude	Altitude	MAT	MAP	Dominant_tree_type_1	Dominant_tree_type	Bac_Chao1	Fungi_Chao1	NMDS1_bac	NMDS1_fungi	NMDS2_bac	NMDS2_fungi	GNIT_Soil.DNA	GMIN_Soil.DNA	GMIN_TN	GMIN_GNH4C	GNIT_GMIN	GMIN_GNIT_GMIN	pH.H2O.	Total.C	Total.N	CN	GMIN	GNIT	GNH4C	GNO3C	Soil.DNA	Bacterial.16S	Fungal.18S	F.B	WRB	WRB_3	soil_type	Forest_type	Dominant_tree_species	d15N
S68	KTA	7.225	24.94165538	86.41354346	1.34	362.69	0.02	47.69	3.65	44.17	36.52555556	140.3105556	240	12.9	1380	0	Conifer	10090.96857	1738.484472	0.620371225	0.228294217	0.136642778	0.275434394	0.047557252	0.095038168	6.669642857	0.538029386	0.500401606	0.499598394	5.78	9.48	0.56	16.92857143	3.735	1.869	6.942	0.69	39.3	89526896595	969809997	0.011	Andosols	Andosols	3	Artificial coniferous forest (planted in 1965)	Cryptomeria japonica	2.767036926
S69	KTA	12.434	47.68651086	74.67401304	0.65	285.94	0	NA	5.64	46.35	36.52555556	140.3105556	240	12.9	1380	0	Conifer	9218.913043	1553.64539	0.736155162	0.292074894	0.13324266	0.255103535	0.115853659	0.420162602	9.938461538	0.662394258	0.275735294	0.724264706	6.04	8.58	0.52	16.5	5.168	1.425	7.802	1.249	12.3	29475546845	225801718	0.008	Andosols	Andosols	3	Artificial coniferous forest (planted in 1965)	Cryptomeria japonica	3
S7	URN	7.225	16.51943657	93.06720798	2.89	48.91	2.26	29.6	12.83	31.8	44.35583333	142.2580556	300	4.4	1150	0	Conifer	4759.780534	743.2592593	-0.73997523	-0.473946024	-0.523291991	-0.73837632	0.008830228	0.025641822	4.345614035	1.722531293	0.344368187	0.655631813	4.68	8.99	0.57	15.77192982	2.477	0.853	1.438	NA	96.6	1.60E+11	7873548518	0.049	Cambisols	Cambisols	2	Cool temperate mixed forest	Abies sachalinensis	2.661702556
S70	KTA	9.478	32.83988452	80.00360007	1.94	321.97	0.08	29.57	6.32	62.05	36.52555556	140.3105556	240	12.9	1380	0	Conifer	9910.005613	1879.007407	0.973791797	0.44784898	0.192162651	0.32664173	0.033423019	0.093766816	9.362686567	0.741752394	0.35644827	0.64355173	6.12	11.51	0.67	17.17910448	6.273	2.236	8.457	1.643	66.9	1.53E+11	990068265	0.006	Andosols	Andosols	3	Artificial coniferous forest (planted in 1965)	Cryptomeria japonica	1.977307418
S71	KTB	10.856	44.49673435	78.60242795	1.07	176.44	1.39	75.43	5.36	35.55	36.52555556	140.3105556	240	12.9	1380	1	Broadleaf	4072.909091	734.4660194	-0.610249336	-0.460696184	0.459705071	0.251758102	0.013772727	0.071863636	2.679661017	0.619028974	0.191650854	0.808349146	5.32	12.1	0.59	20.50847458	1.581	0.303	2.554	2.649	22	41280550746	17554638393	0.425	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus serrata	2.501851296
S72	KTB	16.312	40.47799317	72.34927651	0.29	75.09	1.23	40	5.33	30.36	36.52555556	140.3105556	240	12.9	1380	1	Broadleaf	5504.094017	1162.581967	-0.545977821	-0.346559173	0.246370496	0.168636324	0.004344262	0.258688525	7.013333333	0.658735128	0.016793409	0.983206591	5.23	9.31	0.45	20.68888889	3.156	0.053	4.791	0.281	12.2	26088115794	961258646	0.037	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus serrata	3.22535775
S73	KTB	12.434	41.75274809	75.6849726	1.24	106.37	0.99	53.86	5.43	40.76	36.52555556	140.3105556	240	12.9	1380	1	Broadleaf	6921.6375	1267.322314	-0.03209953	-0.156339231	0.172182842	0.178890305	0.001105769	0.115576923	4.623076923	0.543031398	0.009567388	0.990432612	5.55	10.04	0.52	19.30769231	2.404	0.023	4.427	0.146	20.8	44084355284	1584279377	0.036	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus serrata	3.36745722
S74	KTB	18.683	88.75882361	66.31267375	0.06	98.15	1.51	45.02	3.38	35.68	36.52555556	140.3105556	240	12.9	1380	1	Broadleaf	7761.75	1698.90184	0.200843708	-0.045012109	0.228507307	0.205275874	0.001299304	0	0	0	0	0	5.81	10.03	0.54	18.57407407	NA	0.056	12.676	0.037	43.1	87443758682	2179227417	0.025	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus serrata	1.944744072
S75	KTB	9.478	25.83220175	84.89830203	1.11	90.09	1.02	63.92	7.97	52.38	36.52555556	140.3105556	240	12.9	1380	1	Broadleaf	8489.686747	1767.565217	0.314739381	0.023972439	0.112693045	0.133913365	0.01975	0.1959375	5.5	0.621900417	0.100797448	0.899202552	5.86	10.94	0.57	19.19298246	3.135	0.316	5.041	NA	16	30074755699	537245537	0.018	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus serrata	2.677419355
S76	KSN	16.312	30.96513187	84.84430311	0	NA	0	25.79	3.99	44.81	36.54583333	139.4211111	980	9	1710	1	Broadleaf	5567.132075	1314.284404	-0.76171026	-0.475842326	-0.174753116	-0.19725264	0.003095697	0.024637123	4.917948718	1.637217243	0.125651721	0.874348279	4.99	15.05	0.78	19.29487179	3.836	0.482	2.343	0.096	155.7	2.69E+11	6778510992	0.025	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	3.084322801
