sample	Site	median	mean	siltandclay	Branch_stock	Branch_CN	Leaf_stock	Leaf_CN	FH_stock	FH_CN	Latitude	Longitude	Altitude	MAT	MAP	Dominant_tree_type_1	Dominant_tree_type	Bac_Chao1	Fungi_Chao1	NMDS1_bac	NMDS1_fungi	NMDS2_bac	NMDS2_fungi	GNIT_Soil.DNA	GMIN_Soil.DNA	GMIN_TN	GMIN_GNH4C	GNIT_GMIN	GMIN_GNIT_GMIN	pH.H2O.	Total.C	Total.N	CN	GMIN	GNIT	GNH4C	GNO3C	Soil.DNA	Bacterial.16S	Fungal.18S	F.B	WRB	WRB_3	soil_type	Forest_type	Dominant_tree_species	d15N
S1	URA	4.808	8.904181009	98.36304911	3.09	117.18	4.13	50.55	16.45	32.46	44.36722222	142.2466667	300	4.4	1150	0	Conifer	3406.845697	885.4473684	-0.750217976	-0.012319985	-0.797967085	-0.825745488	0.030817901	0.044382716	5.045614035	0.712233779	0.694367177	0.305632823	4.98	8.92	0.57	15.64912281	2.876	1.997	4.038	NA	64.8	87620178412	2742133416	0.031	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1956)	Abies sachalinensis	2.288275441
S10	URN	7.225	15.51687291	93.57812844	6.76	68.09	1.02	30.87	9.27	27.93	44.35583333	142.2580556	300	4.4	1150	0	Conifer	5912.99403	1231.134328	-0.805329846	-0.395562205	-0.369220612	-0.700364253	0.007777778	0.052279202	5.097222222	1.355243722	0.148773842	0.851226158	4.82	5.13	0.36	14.25	1.835	0.273	1.354	0.263	35.1	47413682604	2281414790	0.048	Cambisols	Cambisols	2	Cool temperate mixed forest	Abies sachalinensis	3.761521433
S100	SDB	16.312	35.79128537	80.02639947	NA	NA	NA	NA	NA	NA	36.51916667	138.3519444	1300	6.6	1220	1	Broadleaf	4432.416176	1230.949153	-0.584078364	-0.359231033	-0.201561052	-0.376051222	0.000702668	0.020370852	2.872477064	0.567827349	0.034493772	0.965506228	4.95	23.16	1.09	21.24770642	3.131	0.108	5.514	0.974	153.7	3.67E+11	26002241890	0.071	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	2.379765836
S101	SDG	6.308	13.13047401	94.91415258	0	NA	0	NA	4.41	21.85	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5514.140244	1612.047945	0.454271354	0.594294898	-0.161266274	-0.339246129	0.004857143	0.014832298	1.126415094	0.991694352	0.327470687	0.672529313	6.09	16.29	1.06	15.36792453	1.194	0.391	1.204	3.957	80.5	1.82E+11	6005342632	0.033	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.120684479
S102	SDG	7.225	20.08674221	89.832	0	NA	0	NA	3.36	23.88	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5947.227129	1816.377358	0.190633371	0.337758163	0.014676214	-0.237562075	0.00090784	0.074580468	4.798230088	0.639990557	0.01217263	0.98782737	5.99	17.54	1.13	15.52212389	5.422	0.066	8.472	1.938	72.7	1.68E+11	2705297042	0.016	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.438907235
S103	SDG	6.308	15.62987101	93.3034018	0	NA	0	NA	4.13	21.13	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5641.239872	1715.641791	0.317038835	0.468356746	0.003293873	-0.239479673	0.009303371	0.066078652	4.781300813	0.636196452	0.140792382	0.859207618	5.73	17.71	1.23	14.39837398	5.881	0.828	9.244	0.23	89	2.19E+11	4640096873	0.021	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.111678175
S104	SDG	6.308	21.81855505	88.93811062	0	NA	0	NA	7.41	23.53	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5225.86399	1325.073171	0.366970782	0.585084014	0.125028182	-0.232295973	0.006155748	0.030123609	2.277570093	0.732051667	0.20434961	0.79565039	5.88	16.08	1.07	15.02803738	2.437	0.498	3.329	3.975	80.9	2.03E+11	7463164520	0.037	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.450391778
S105	SDG	7.225	15.62838796	93.398	0	NA	0	NA	3.52	34.51	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5159.399516	1482.45098	0.182916713	0.52132218	0.095229041	-0.361722025	0.006289199	0.007195122	0.744144144	0.804284323	0.87409201	0.12590799	5.78	17.86	1.11	16.09009009	0.826	0.722	1.027	4.507	114.8	2.61E+11	8129606151	0.031	Andosols	Andosols	3	Grassland	Miscanthus sinensis	4.593568739
S106	FKA	18.683	62.40292096	66.11767765	0	NA	0.13	70.27	15.13	112.44	35.20555556	140.1030556	180	14	2310	0	Conifer	6498.724231	1478.384615	1.226263308	0.492288658	0.399857036	0.505322695	0.002210066	0.057636761	8.78	0.552085517	0.038344723	0.961655277	6.61	5.58	0.3	18.6	2.634	0.101	4.771	0.031	45.7	1.07E+11	1412184247	0.013	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	1.009880819
S107	FKA	21.399	40.3669178	70.89858203	0	NA	0	17.06	21.49	116.54	35.20555556	140.1030556	180	14	2310	0	Conifer	7065.550466	1546.582192	0.814597861	0.516896682	0.477508482	0.582535314	0.023986014	0.091153846	15.33529412	0.825522483	0.263137706	0.736862294	6.83	3.44	0.17	20.23529412	2.607	0.686	3.158	NA	28.6	61412384084	2817660279	0.046	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	0.546248715
S108	FKA	7.225	18.92459052	89.40542378	0.02	115.28	0.52	82.24	12.24	92.82	35.20555556	140.1030556	180	14	2310	0	Conifer	4922.446118	947.7222222	0.759491873	0.32855973	0.702511847	0.732315285	0.067692308	0	0	0	0	0	6.77	3.78	0.23	16.43478261	NA	1.496	1.746	NA	22.1	41861602226	543607984	0.013	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	3.274916523
S109	FKA	8.275	27.20371904	84.67976601	0.06	127.09	0.19	65.84	15.84	75.75	35.20555556	140.1030556	180	14	2310	0	Conifer	5277.965347	1128.834862	0.599794049	0.311528234	0.669601378	0.610814888	0	0.100307692	5.015384615	0.689217759	0	1	6.24	2.45	0.13	18.84615385	0.652	NA	0.946	0.196	6.5	16029220830	316237912	0.02	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	3.422918808
S11	SCB	21.399	44.35258745	73.847	0.07	49.84	2.66	41.03	6.03	23.37	43.38805556	144.66	120	6.2	1170	1	Broadleaf	8840.682992	1789.505747	0.433116411	0.565956044	-0.503512542	-0.500840253	0.02700361	0.028619134	2.781578947	0.532136264	0.94355093	0.05644907	5.49	15.06	1.14	13.21052632	3.171	2.992	5.959	0.1	110.8	2.53E+11	4530748418	0.018	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	1.044514618
S110	FKA	12.434	26.94375015	83.63616364	0	NA	0.52	105.6	16.65	96.44	35.20555556	140.1030556	180	14	2310	0	Conifer	5787.446809	1236.285714	1.233748494	0.610019641	0.472032923	0.63403131	0.005877034	0.065985533	8.688095238	0.694518462	0.089065497	0.910934503	6.96	7.74	0.42	18.42857143	3.649	0.325	5.254	0.579	55.3	1.20E+11	603192612	0.005	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	-0.159967519
S111	FKB	10.856	18.24290981	91.86732531	0	NA	0.08	58.5	1.91	90.25	35.205	140.1030556	170	14	2310	0	Conifer	8924.517647	1523.883495	1.048815232	0.550281691	0.397732488	0.480023418	0	0.076666667	7.053333333	0.622719247	0	1	6.62	5.23	0.3	17.43333333	2.116	NA	3.398	0.055	27.6	63321108432	453003570	0.007	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 2000)	Cryptomeria japonica	0.945706428
S112	FKB	10.856	23.79798712	85.93170341	0.25	302.46	0.1	155.09	3.8	122.6	35.205	140.1030556	170	14	2310	0	Conifer	7870.749203	1840.951351	0.49021581	0.149682468	0.468305755	0.440484686	0.001719902	0.121351351	17.03103448	0.79558634	0.014172909	0.985827091	6.61	5.06	0.29	17.44827586	4.939	0.07	6.208	0.509	40.7	1.05E+11	3824166180	0.037	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 2000)	Cryptomeria japonica	0.581032902
S113	FKB	8.275	13.80620465	95.8700826	0	NA	0	NA	2.14	66.55	35.205	140.1030556	170	14	2310	0	Conifer	8799.144737	1722.798165	1.035593169	0.601129333	0.435058766	0.47993951	0.010557851	0.045	8.066666667	0.633323641	0.234618916	0.765381084	6.41	4.48	0.27	16.59259259	2.178	0.511	3.439	NA	48.4	1.22E+11	963408949	0.008	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 2000)	Cryptomeria japonica	1.43363553
S114	FKB	9.478	24.25687556	85.43429131	0	NA	0	NA	7.97	61.59	35.205	140.1030556	170	14	2310	0	Conifer	8669.546784	1079.647059	1.250478975	0.783615261	0.393060023	0.486096582	0	0.099789474	13.54285714	0.448438978	0	1	6.63	2.09	0.14	14.92857143	1.896	NA	4.228	0.113	19	35094620139	183055654	0.005	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 2000)	Cryptomeria japonica	3.116649538
S115	FKB	12.434	33.86830618	79.21624703	0	NA	0	NA	2.69	87.86	35.205	140.1030556	170	14	2310	0	Conifer	9157.339882	1777.234899	0.71758857	0.374824579	0.414915218	0.308864904	0.038429003	0.079335347	7.957575758	0.704777241	0.4843869	0.5156131	6.76	6.17	0.33	18.6969697	2.626	1.272	3.726	NA	33.1	83118295390	992966163	0.012	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 2000)	Cryptomeria japonica	0.775883069
S116	TZA	8.275	24.89437926	85.3778026	0.23	111.06	0.54	88.58	4.96	74.87	35.46888889	139.2091667	560	11	2910	0	Conifer	7667.374867	1135.663043	1.066385268	0.772182936	0.119408218	0.226632006	0.016230964	0.042664975	7.471111111	0.68347225	0.380428316	0.619571684	6.62	5.6	0.45	12.44444444	3.362	1.279	4.919	0.086	78.8	2.01E+11	879354308	0.004	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1983-1985)	Cryptomeria japonica	2.635632067
S117	TZA	8.275	20.50271117	89.39553022	1.15	268.65	0.11	63.55	7.5	90.61	35.46888889	139.2091667	560	11	2910	0	Conifer	7342.693642	1434.378378	1.01530061	0.485559394	0.072435662	0.218694878	0.000871212	0.055429293	8.283018868	0.717554756	0.01571754	0.98428246	6.73	6.68	0.53	12.60377358	4.39	0.069	6.118	NA	79.2	1.44E+11	1056732712	0.007	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1983-1985)	Cryptomeria japonica	2.232250178
S118	TZA	7.225	15.41130403	94.02705973	1.21	87.58	0.06	50.35	11.29	86.93	35.46888889	139.2091667	560	11	2910	0	Conifer	7918.192389	1461.608247	0.798812924	0.536450526	0.050245361	0.183618209	0.00803681	0.039120654	7.085185185	0.729874094	0.205436487	0.794563513	6.89	7.32	0.54	13.55555556	3.826	0.786	5.242	0.015	97.8	2.73E+11	1111279495	0.004	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1983-1985)	Cryptomeria japonica	2.170113069
S119	TZA	9.478	23.53811296	88.10845355	3.13	238.66	0.73	68.68	11.9	87.48	35.46888889	139.2091667	560	11	2910	0	Conifer	8114	1198.613333	1.130146074	0.728922693	0.05638439	0.292354168	0.01001938	0.079844961	8.24	0.752648886	0.125485437	0.874514563	6.91	6.45	0.5	12.9	4.12	0.517	5.474	NA	51.6	1.24E+11	487889271	0.004	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1983-1985)	Cryptomeria japonica	2.827243199
S12	SCB	21.399	44.69173857	74.43527824	0.67	55.23	2.36	31.76	3.95	25.21	43.38805556	144.66	120	6.2	1170	1	Broadleaf	9213.150299	1671.449612	0.238130651	0.451944195	-0.457524696	-0.571192492	0.018791878	0.047258883	5.967948718	0.639510922	0.39763695	0.60236305	5.32	10.7	0.78	13.71794872	4.655	1.851	7.279	0.052	98.5	2.12E+11	2213354149	0.01	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	1.189161658
S120	TZA	8.275	19.9357407	90.04719906	0.2	107.62	0	69.95	6.31	70.39	35.46888889	139.2091667	560	11	2910	0	Conifer	8434.755102	1382.649351	1.018475092	0.603120233	0.064571831	0.183488329	0.009333333	0.101647059	7.005405405	0.734902183	0.091820988	0.908179012	6.93	8.97	0.74	12.12162162	5.184	0.476	7.054	NA	51	1.27E+11	786380352	0.006	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1983-1985)	Cryptomeria japonica	2.126877791
S121	TZB	8.275	21.24705095	88.6233413	3.34	81.74	0.25	44.76	0.55	82.17	35.47111111	139.2116667	510	11	2910	0	Conifer	9916.24264	1591.063158	1.326482126	0.528716612	0.112859298	0.283185007	0.004722689	0.232352941	20.33088235	0.522802904	0.020325497	0.979674503	6.59	8.23	0.68	12.10294118	13.825	0.281	26.444	0.228	59.5	1.52E+11	631722946	0.004	Cambisols	Cambisols	2	Artificial coniferous forest (year of plantation: unknown)	Cryptomeria japonica	1.493145202
S122	TZB	8.275	18.95128823	90.83690837	1.47	84.89	0.1	38.38	0.51	71.71	35.47111111	139.2116667	510	11	2910	0	Conifer	9624.83913	1452.703704	1.286929326	0.513640444	0.095612959	0.294916048	0.012536765	0.853823529	43.81886792	0.755841958	0.014683086	0.985316914	6.72	6.09	0.53	11.49056604	23.224	0.341	30.726	NA	27.2	69180699419	412510969	0.006	Cambisols	Cambisols	2	Artificial coniferous forest (year of plantation: unknown)	Cryptomeria japonica	0.523466426
S123	TZB	9.478	21.56307422	88.671579	1.46	90.85	0.07	49.05	0.74	54.81	35.47111111	139.2116667	510	11	2910	0	Conifer	8871.828767	1509.032967	1.284468664	0.583928611	0.124571746	0.266981412	0.010291777	0.087374005	5.49	0.255487474	0.117789921	0.882210079	6.77	6.88	0.6	11.46666667	3.294	0.388	12.893	0.921	37.7	77096640867	433860009	0.006	Cambisols	Cambisols	2	Artificial coniferous forest (year of plantation: unknown)	Cryptomeria japonica	6.5927149
S124	TZB	9.478	28.87099517	84.22231555	2.35	142.91	0.38	37.98	1.17	60.43	35.47111111	139.2116667	510	11	2910	0	Conifer	8593.195187	1513.350877	1.280007928	0.641092154	0.147347613	0.319973928	0.01115192	0	0	0	0	0	6.82	6.67	0.56	11.91071429	NA	0.668	5.523	NA	59.9	1.38E+11	881152854	0.006	Cambisols	Cambisols	2	Artificial coniferous forest (year of plantation: unknown)	Cryptomeria japonica	1.094026661
S125	TZB	9.478	19.61466842	90.35419292	0.86	104.53	0.09	43.51	0.84	63.11	35.47111111	139.2116667	510	11	2910	0	Conifer	7982.244186	869.902439	1.446305538	0.84343256	0.12341091	0.405700865	0.016401674	0	0	0	0	0	6.99	4.88	0.44	11.09090909	NA	0.392	3.178	0.209	23.9	58615787952	200593588	0.003	Cambisols	Cambisols	2	Artificial coniferous forest (year of plantation: unknown)	Cryptomeria japonica	1.424748143
S126	FJF	36.829	88.13092463	56.299563	8.26	161.26	21.05	46.19	75	28.97	35.44416667	138.7636111	1100	8.8	1850	0	Conifer	9530.808333	1866.2	0.694503014	0.346559209	-0.153452374	-0.180064072	0	0.057702128	4.109090909	0.467747499	0	1	7.92	6.11	0.33	18.51515152	1.356	NA	2.899	0.524	23.5	54288961398	1031788196	0.019	Regosols	others	1	Artificial coniferous forest (planted in 1955)	Larix kaempferi	-0.469186106
S127	FJF	24.51	35.98706979	77.02445951	10.33	132.39	5.32	66	36.58	33.21	35.44416667	138.7636111	1100	8.8	1850	0	Conifer	10012.57191	1814.852761	0.859921583	0.469482517	-0.227781734	-0.136111244	0	0.033305556	4.440740741	0.421589311	0	1	7.43	4.54	0.27	16.81481481	1.199	NA	2.844	1.08	36	89881796378	1071676984	0.012	Regosols	others	1	Artificial coniferous forest (planted in 1955)	Larix kaempferi	0.100234287
S128	FJF	24.51	48.36485917	68.75362493	4.32	139.61	10.17	44.11	59.35	36.34	35.44416667	138.7636111	1100	8.8	1850	0	Conifer	10201.67736	1729.75	0.835261393	0.478530973	-0.164760534	-0.186260553	0.006148649	0.053918919	3.069230769	0.297761194	0.114035088	0.885964912	7.34	4.67	0.26	17.96153846	0.798	0.091	2.68	0.26	14.8	51560611183	644624841	0.013	Regosols	others	1	Artificial coniferous forest (planted in 1955)	Larix kaempferi	-0.000611185
S129	FJF	32.155	53.94851278	64.79405618	2.48	131.07	38.1	43.82	35.57	47.63	35.44416667	138.7636111	1100	8.8	1850	0	Conifer	8931.103448	1522.331126	0.789433868	0.267402721	-0.24296583	-0.170119779	0.019655172	0.031149425	4.516666667	0.309596344	0.63099631	0.36900369	7.16	3.42	0.18	19	0.813	0.513	2.626	0.338	26.1	76302309445	1610381910	0.021	Regosols	others	1	Artificial coniferous forest (planted in 1955)	Larix kaempferi	-0.789559377
S13	SCB	16.312	27.28666048	87.59712403	0.91	59.08	3.08	41.13	5.8	24.37	43.38805556	144.66	120	6.2	1170	1	Broadleaf	8649.195455	1936.248175	0.152113661	0.399435109	-0.502385255	-0.599521585	0.020548223	0.055857868	7.053846154	0.675423521	0.36786623	0.63213377	5.21	11.18	0.78	14.33333333	5.502	2.024	8.146	0.67	98.5	2.44E+11	3431609603	0.014	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	0.608536213
S130	FJF	21.399	44.41110072	73.58805648	5.8	154.94	6.08	58.86	46.56	28.63	35.44416667	138.7636111	1100	8.8	1850	0	Conifer	9918.983126	2074.028986	0.839260479	0.493271945	-0.213712235	-0.09823286	0.016788991	0	0	0	0	0	7.18	3.4	0.19	17.89473684	NA	0.183	NA	0.033	10.9	38816819246	726000174	0.019	Regosols	others	1	Artificial coniferous forest (planted in 1955)	Larix kaempferi	0.060140429
S131	FJS	24.51	35.79976318	76.85469436	3.4	180.38	18.89	36.18	31.57	29.5	35.44416667	138.7633333	1100	8.8	1850	0	Conifer	8802.013966	1467.618557	0.976618619	0.590085819	-0.116673931	-0.183280482	0.025363636	0.021363636	2.455223881	0.472158439	1.187234043	-0.187234043	6.65	9.63	0.67	14.37313433	1.645	1.953	3.484	0.47	77	1.82E+11	1690001017	0.009	Andosols	Andosols	3	Artificial coniferous forest (planted in 1955)	Larix kaempferi	0.93857594
S132	FJS	24.51	47.4946338	71.103	2.82	92.21	2.98	64.53	33.41	29.7	35.44416667	138.7633333	1100	8.8	1850	0	Conifer	8668.213483	1388.438776	0.835422815	0.502369849	-0.140480973	-0.174409723	0.009748284	0.021956522	2.429113924	0.53055018	0.44398124	0.55601876	6.67	11.1	0.79	14.05063291	1.919	0.852	3.617	0.494	87.4	2.57E+11	1250476589	0.005	Andosols	Andosols	3	Artificial coniferous forest (planted in 1955)	Larix kaempferi	1.903229092
S133	FJS	21.399	37.15810476	77.09445811	9.46	95.44	10.4	37.56	37.49	31.32	35.44416667	138.7633333	1100	8.8	1850	0	Conifer	9479.986551	1768.044693	0.867024493	0.524073119	-0.117040741	-0.135687069	0	0.018019402	2.274489796	0.541808459	0	1	6.55	13.94	0.98	14.2244898	2.229	NA	4.114	0.321	123.7	3.29E+11	3243069683	0.01	Andosols	Andosols	3	Artificial coniferous forest (planted in 1955)	Larix kaempferi	1.684221249
S134	FJS	24.51	47.48953063	69.76320947	6.6	120.55	17.04	29.73	63.52	23.85	35.44416667	138.7633333	1100	8.8	1850	0	Conifer	8861.861272	1219.984375	0.990145349	0.745697787	-0.154668429	-0.078942996	0.011069042	0.010055679	1.157692308	0.377192982	1.100775194	-0.100775194	6.72	10.8	0.78	13.84615385	0.903	0.994	2.394	NA	89.8	2.55E+11	799753364	0.003	Andosols	Andosols	3	Artificial coniferous forest (planted in 1955)	Larix kaempferi	2.050574947
S135	FJS	10.856	20.29521182	92.57822265	6.22	139.67	5.61	31.39	57.25	25.01	35.44416667	138.7633333	1100	8.8	1850	0	Conifer	9203.950943	1284.11236	1.036273961	0.726964852	-0.157321029	-0.106849511	0.027985972	0.010761523	1.193333333	0.327538884	2.600558659	-1.600558659	6.81	12.08	0.9	13.42222222	1.074	2.793	3.279	0.325	99.8	1.86E+11	606332431	0.003	Andosols	Andosols	3	Artificial coniferous forest (planted in 1955)	Larix kaempferi	1.460364302
S136	STN	8.275	12.14241744	97.88906333	0.37	151.88	0.43	89.88	10.3	43.25	35.26138889	137.0786111	200	14.6	1520	1	Broadleaf	4001.513699	887.2828283	-1.716461066	-1.130807381	0.270360358	0.223064314	0.002317597	0.119742489	13.28571429	0.75	0.019354839	0.980645161	3.88	6.62	0.21	31.52380952	2.79	0.054	3.72	0.726	23.3	49990463301	7163991595	0.143	Cambisols	Cambisols	2	Secondary evergreen broadleaved forest	Ilex pedunculosa	-1.324901346
S137	STN	16.312	46.14353981	74.21451571	0.39	180.84	0.15	88.38	11.25	34.76	35.26138889	137.0786111	200	14.6	1520	1	Broadleaf	3946.860902	915.3736264	-1.682573272	-0.942325977	0.357961845	0.256898006	0	0.050611111	2.679411765	0.403812057	0	1	4.1	9.09	0.34	26.73529412	0.911	NA	2.256	0.183	18	28491883768	5205785058	0.183	Cambisols	Cambisols	2	Secondary evergreen broadleaved forest	Ilex pedunculosa	-2.831354397
S138	STN	10.856	29.63445949	86.38172763	0.33	91.48	0.07	90.08	12.24	43.98	35.26138889	137.0786111	200	14.6	1520	1	Broadleaf	3322.960938	735.1707317	-1.69858395	-1.096281082	0.442045905	0.205650851	0	0	0	0	0	0	4.04	4.22	0.14	30.14285714	NA	NA	0.444	0.556	7.9	20539554131	4361735328	0.212	Cambisols	Cambisols	2	Secondary evergreen broadleaved forest	Ilex pedunculosa	-1.208127458
S139	STN	9.478	24.69184825	86.354	0.03	73.32	0.07	64.99	12.98	27.64	35.26138889	137.0786111	200	14.6	1520	1	Broadleaf	5102.748768	1020.941176	-1.328904442	-1.064978881	0.248420584	0.21100533	0.003251534	0.02190184	3.966666667	0.285371703	0.148459384	0.851540616	4.31	2.98	0.09	33.11111111	0.357	0.053	1.251	0.328	16.3	40550034576	3533328807	0.087	Cambisols	Cambisols	2	Secondary evergreen broadleaved forest	Ilex pedunculosa	0.777352022
S14	SCB	18.683	33.6554784	82.339	1.6	56.5	2.81	38.69	7.45	23.61	43.38805556	144.66	120	6.2	1170	1	Broadleaf	10000.42946	1969.730769	0.229164471	0.413366217	-0.491711979	-0.577328469	0.010117188	0.108242188	8.031884058	0.668596936	0.093468062	0.906531938	5.3	9.84	0.69	14.26086957	5.542	0.518	8.289	NA	51.2	1.23E+11	1703924502	0.014	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	1.567600487
S140	STN	10.856	22.8895933	87.13851446	0.15	96.41	0.09	104.21	10.77	26.04	35.26138889	137.0786111	200	14.6	1520	1	Broadleaf	4413.063136	981.8829787	-1.297424477	-0.921294177	0.293323082	0.178620822	0	0.165315315	20.38888889	0	0	1	4.57	3.03	0.09	33.66666667	1.835	NA	NA	NA	11.1	28228379666	2643980257	0.094	Cambisols	Cambisols	2	Secondary evergreen broadleaved forest	Ilex pedunculosa	-1.628617525
S141	ASA	4.198	8.612470269	97.05911764	2.54	295.58	5	122.05	5.43	44.27	35.33444444	135.76	690	11.9	2250	0	Conifer	8274.28125	1189.584416	-0.069672939	0.157760673	-0.090548107	0.142426998	0.033346883	0.041436314	3.870886076	0.429434068	0.804774362	0.195225638	5.72	12.53	0.79	15.86075949	3.058	2.461	7.121	NA	73.8	1.48E+11	870767271	0.006	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1972)	Cryptomeria japonica	1.486140298
S142	ASA	6.308	27.96509496	85.07629847	0.63	287.23	4.92	129.56	2.61	84.39	35.33444444	135.76	690	11.9	2250	0	Conifer	8912.143947	1534.25	0.679377169	0.704137135	0.138908053	0.145277289	0.024866469	0.084747774	6.208695652	0.613007083	0.293417367	0.706582633	6.22	7.56	0.46	16.43478261	2.856	0.838	4.659	NA	33.7	93511923525	471179418	0.005	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1972)	Cryptomeria japonica	1.929450615
S143	ASA	4.198	8.213696542	98.22201778	2.93	194.01	4.88	98.64	10.32	34.18	35.33444444	135.76	690	11.9	2250	0	Conifer	7356.473292	1343.842593	0.007042012	0.175785157	0.094552564	0.108342586	0.010773639	0.047449857	4.870588235	0.386825508	0.22705314	0.77294686	5.55	5	0.34	14.70588235	1.656	0.376	4.281	NA	34.9	83154430680	749265761	0.009	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1972)	Cryptomeria japonica	2.750025018
S144	ASA	4.198	9.582555222	96.80115994	1.51	134.3	7.52	103.7	7.86	28.76	35.33444444	135.76	690	11.9	2250	0	Conifer	7283.779828	1275.636364	-0.167942929	0.098814699	-0.025234106	0.038022581	0.012576142	0.042893401	7.347826087	0.546306772	0.293195266	0.706804734	5.13	7.36	0.46	16	3.38	0.991	6.187	NA	78.8	1.92E+11	1125942308	0.006	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1972)	Cryptomeria japonica	2.764933347
S145	ASA	4.808	10.43227321	96.21122733	1.8	321.86	3.22	107.41	5.55	51.9	35.33444444	135.76	690	11.9	2250	0	Conifer	8127.978655	838.0384615	0.897223838	0.951504968	0.228597238	0.308307569	0.007371795	0.096410256	7.161904762	0.422947132	0.076462766	0.923537234	6.28	2.78	0.21	13.23809524	1.504	0.115	3.556	NA	15.6	52641128691	119799809	0.002	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1972)	Cryptomeria japonica	4.249618398
S146	KGB	7.225	16.99799068	91.59808402	0.26	175.95	0.21	78.49	11.09	46.99	35.07027778	135.7675	140	14.2	1530	1	Broadleaf	4739.756058	1238.157895	-1.532434205	-1.107246986	0.154986411	0.244714439	0.005655738	0.055163934	2.926086957	0.871761658	0.102526003	0.897473997	4.29	8.49	0.23	36.91304348	0.673	0.069	0.772	0.802	12.2	25105328761	2696310396	0.107	Cambisols	Cambisols	2	Cool temperate deciduous broadleaved forest	Quercus serrata	-0.565010624
S147	KGB	7.225	53.0623213	81.40174393	0.04	213.07	0.14	81.34	9.73	44.28	35.07027778	135.7675	140	14.2	1530	1	Broadleaf	4245.896617	967.7826087	-1.397907273	-1.136413786	0.360499465	0.183478554	0.001894737	0.063526316	4.828	0.735527118	0.029826015	0.970173985	4.44	8.09	0.25	32.36	1.207	0.036	1.641	0.66	19	44487908528	5800329348	0.13	Cambisols	Cambisols	2	Cool temperate deciduous broadleaved forest	Quercus serrata	-0.453708388
S148	KGB	9.478	45.4730524	78.22821772	0.06	128.82	0.18	80.43	7.37	42.04	35.07027778	135.7675	140	14.2	1530	1	Broadleaf	5066.490818	1031.71875	-1.245413964	-1.011678595	0.267274616	0.300802992	0	0.145935484	6.854545455	0.899403579	0	1	4.29	9.82	0.33	29.75757576	2.262	NA	2.515	0.845	15.5	44835691963	4704891951	0.105	Cambisols	Cambisols	2	Cool temperate deciduous broadleaved forest	Quercus serrata	-0.560863808
S149	KGB	8.275	21.96363158	89.14121718	0.25	183.11	1.11	72.17	13.9	46.07	35.07027778	135.7675	140	14.2	1530	1	Broadleaf	5103.170732	1047.915888	-1.396982614	-1.093013945	0.21963287	0.229601915	0.000754717	0.191132075	14.47142857	0.753159851	0.003948667	0.996051333	4.48	7.21	0.21	34.33333333	3.039	0.012	4.035	0.309	15.9	26825323032	4455344500	0.166	Cambisols	Cambisols	2	Cool temperate deciduous broadleaved forest	Quercus serrata	-0.239139261
